機種,台番,差枚,G数,出率,BB,RB,合成
パチスロ　コードギアス反逆のルルーシュ３,3094,"-1,710","1,974",71.1%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3064,"-1,730","2,876",79.9%,-,-,-
いざ！番長,2032,"-1,730","3,320",82.6%,-,-,-
Lアカメが斬る！2,3034,"-1,750","1,262",53.8%,-,-,-
翔べ！ハーレムエース,2341,"-1,780","1,440",58.8%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2308,"-1,790","5,450",89.1%,13,14,1/202
L絶対衝激IV,3014,"-1,800","2,290",73.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3173,"-1,810","4,599",86.9%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,2026,"-1,810","3,847",84.3%,-,-,-
L主役は銭形5,2071,"-1,820","3,598",83.1%,-,-,-
スマスロ スーパーブラックジャック,3138,"-1,870","7,977",92.2%,-,-,-
スマスロ化物語,3048,"-1,880","7,364",91.5%,-,-,-
Lスマスロ北斗の拳,2098,"-1,880","4,156",84.9%,24,8,1/130
スマスロ モンスターハンターライズ,2058,"-1,900","2,804",77.4%,-,-,-
L主役は銭形5,2070,"-1,900","3,540",82.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3175,"-1,930","7,459",91.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3185,"-1,980","6,100",89.2%,-,-,-
Lアズールレーン THE ANIMATION,3077,"-1,980","3,802",82.6%,-,-,-
Lパチスロからくりサーカス,3158,"-2,010","2,073",67.7%,-,-,-
スマスロモンキーターンV,2039,"-2,010","4,402",84.8%,-,-,-
Lパチスロ かぐや様は告らせたい,3165,"-2,060","2,724",74.8%,-,-,-
L ToLOVEるダークネス,3070,"-2,090","3,122",77.7%,-,-,-
Lゴジラ対エヴァンゲリオン,3041,"-2,100","2,065",66.1%,-,-,-
ネオアイムジャグラーEX,2132,"-2,120","4,683",84.9%,8,15,1/204
パチスロ 転生したら剣でした,3043,"-2,130","4,547",84.4%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2021,"-2,160","2,764",74%,-,-,-
Lスマスロ北斗の拳,2095,"-2,180","6,286",88.4%,37,17,1/116
スマスロ聖戦士ダンバイン,2005,"-2,180","3,615",79.9%,-,-,-
スマスロ 東京リベンジャーズ,3149,"-2,210","6,967",89.4%,-,-,-
Lスマスロ北斗の拳,2074,"-2,230","4,769",84.4%,29,12,1/116
Lスマスロ北斗の拳,2093,"-2,310","5,630",86.3%,37,11,1/117
スマスロ聖戦士ダンバイン,2006,"-2,330","3,510",77.9%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2328,"-2,430","3,864",79%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,2049,"-2,460","2,454",66.6%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3052,"-2,470","4,371",81.2%,-,-,-
スマスロ スーパーブラックジャック,3144,"-2,490","5,945",86%,-,-,-
スマスロ新鬼武者3,3130,"-2,490","8,162",89.8%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3054,"-2,540","2,368",64.2%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2023,"-2,630","4,482",80.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3180,"-2,700","4,843",81.4%,-,-,-
L主役は銭形5,2068,"-2,770","3,825",75.9%,-,-,-
スマスロ ゴールデンカムイ,3001,"-2,800","3,898",76.1%,-,-,-
Lアズールレーン THE ANIMATION,3076,"-2,840","2,682",64.7%,-,-,-
プリズムナナ,3030,"-2,860","5,607",83%,-,-,-
スマスロ新鬼武者3,3132,"-2,940","5,516",82.2%,-,-,-
チバリヨ2,2191,"-3,000","3,725",73.2%,-,-,-
スマスロ スーパーブラックジャック,3139,"-3,110","5,007",79.3%,-,-,-
スマスロ バイオハザード5,2044,"-3,260","3,858",71.8%,-,-,-
いざ！番長,2001,"-3,260","2,967",63.4%,-,-,-
吉宗,2067,"-3,300","2,931",62.5%,-,-,-
スマスロモンキーターンV,2041,"-3,300","4,859",77.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3178,"-3,420","9,059",87.4%,-,-,-
L東京喰種,3117,"-3,470","5,149",77.5%,-,-,-
スマスロ シャーマンキング,3022,"-3,620","3,524",65.8%,-,-,-
スマスロ スーパーブラックジャック,3136,"-3,840","9,094",85.9%,-,-,-
L東京喰種,3114,"-3,890","3,941",67.1%,-,-,-
L東京喰種,3118,"-4,160","6,306",78%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3186,"-4,940","6,731",75.5%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3177,"-5,270","6,413",72.6%,-,-,-
プリズムナナ,3017,"-5,550","5,848",68.4%,-,-,-
スマスロ 東京リベンジャーズ,3147,"-6,320","7,015",70%,-,-,-
