機種,台番,差枚,G数,出率,BB,RB,合成
マイジャグラーV,2116,"1,611","7,808",106.9%,33,27,1/130
L東京喰種,3042,"1,414","3,498",113.5%,-,-,-
ゴーゴージャグラー３,2081,"1,398","3,847",112.1%,21,12,1/117
スマスロモンキーターンV,3109,"1,295","1,382",131.2%,-,-,-
ウルトラミラクルジャグラー,2111,"1,206","2,144",118.8%,-,-,-
Lゴジラ対エヴァンゲリオン,3050,"1,204","1,658",124.2%,-,-,-
沖ドキ！ＧＯＬＤ-30,2159,"1,100","3,955",109.3%,-,-,-
沖ドキ!ゴージャス 30Φ,2135,"1,095","2,992",112.2%,-,-,-
キングハナハナ-30,2146,"1,095","5,625",106.5%,-,-,-
Lゴジラ対エヴァンゲリオン,3049,"1,013","1,911",117.7%,-,-,-
翔べ！ハーレムエース,3163,"1,012","2,150",115.7%,-,-,-
スマート沖スロ ドラゴンハナハナ～閃光～,2180,"1,009","7,003",104.8%,-,-,-
スマスロモンキーターンV,3105,"1,007",833,140.3%,-,-,-
マイジャグラーV,2127,"1,007","2,191",115.3%,13,5,1/122
Lパチスロガールズ＆パンツァー 最終章,3166,912,514,159.1%,-,-,-
SアイムジャグラーＥＸ,2060,912,"6,908",104.4%,27,27,1/128
押忍！番長4,3029,909,"2,357",112.9%,-,-,-
スターハナハナ-30,2141,905,"7,927",103.8%,-,-,-
Lパチスロからくりサーカス,3055,807,"1,485",118.1%,-,-,-
マイジャグラーV,2101,806,"5,024",105.3%,22,14,1/140
マイジャグラーV,2010,804,"5,648",104.7%,27,13,1/141
ジャグラーガールズSS,2075,803,"1,631",116.4%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,3091,802,330,181%,-,-,-
Lスマスロ北斗の拳,3122,797,"1,461",118.2%,19,3,1/66
マイジャグラーV,2095,716,"4,075",105.9%,19,8,1/151
マイジャグラーV,2115,713,"3,271",107.3%,13,12,1/131
パチスロ わたしの幸せな結婚,3186,710,621,138.1%,-,-,-
吉宗,3032,709,"2,710",108.7%,-,-,-
L主役は銭形４,3147,606,886,122.8%,-,-,-
ハッピージャグラーＶＩＩＩ,2023,606,"3,671",105.5%,15,12,1/136
SアイムジャグラーＥＸ,2059,603,"5,542",103.6%,20,25,1/123
翔べ！ハーレムエース,3162,516,76,-,-,-,-
スマスロ バイオハザード5,3070,516,"1,695",110.1%,-,-,-
ファンキージャグラー２ＫＴ,2109,512,910,118.8%,5,4,1/101
Lスマスロ北斗の拳,3117,512,"1,908",108.9%,21,6,1/71
L咲-Saki-頂上決戦,3140,511,"1,743",109.8%,-,-,-
Lアズールレーン THE ANIMATION,3127,509,"3,311",105.1%,-,-,-
マイジャグラーV,2130,507,"4,311",103.9%,17,16,1/131
スマスロモンキーターンV,3103,496,"3,816",104.3%,-,-,-
SアイムジャグラーＥＸ,2070,410,"1,648",108.3%,7,5,1/137
キングハナハナ-30,2147,410,"7,086",101.9%,-,-,-
沖ドキ！ＧＯＬＤ-30,2152,406,671,120.2%,-,-,-
ウルトラミラクルジャグラー,2113,406,"1,293",110.5%,-,-,-
スマスロモンキーターンV,3018,405,"2,852",104.7%,-,-,-
マイジャグラーV,2123,405,"1,198",111.3%,6,3,1/133
SアイムジャグラーＥＸ,2069,404,"4,960",102.7%,18,17,1/142
マイジャグラーV,2094,402,"3,902",103.4%,15,17,1/122
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2037,316,424,124.8%,-,-,-
スマスロ ギルティクラウン2,3189,314,978,110.7%,-,-,-
Lスマスロ北斗の拳,3004,313,"1,197",108.7%,13,2,1/80
ハッピージャグラーＶＩＩＩ,2021,308,"3,776",102.7%,15,13,1/135
SアイムジャグラーＥＸ,2027,307,"3,293",103.1%,14,9,1/143
L主役は銭形４,3148,307,"1,277",108%,-,-,-
Lスマスロ北斗の拳,3121,306,"3,717",102.7%,37,5,1/89
沖ドキ！BLACK,2140,301,"3,576",102.8%,-,-,-
マイジャグラーV,2124,209,"5,456",101.3%,20,18,1/144
スマスロ真・北斗無双,3168,209,"1,109",106.3%,8,0,1/139
スマート沖スロ スターハナハナ,2182,209,"8,109",100.9%,-,-,-
新ハナビ,2044,208,"3,687",101.9%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3015,208,864,108%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3142,206,"1,157",105.9%,-,-,-
ゴーゴージャグラー３,2076,206,925,107.4%,5,0,1/185
マイジャグラーV,2100,202,"1,143",105.9%,6,1,1/163
