機種,台番,差枚,G数,出率,BB,RB,合成
スロット Re:ゼロから始める異世界生活 season2,849,-593,"3,503",94.4%,-,-,-
チバリヨ2,1389,-593,405,51.2%,-,-,-
マイジャグラーV,745,-594,"8,130",97.6%,30,19,1/166
スターハナハナ-30,1450,-594,"6,775",97.1%,-,-,-
Lパチスロ かぐや様は告らせたい,130,-594,"6,187",96.8%,-,-,-
Lパチスロ かぐや様は告らせたい,126,-596,798,75.1%,-,-,-
Lスマスロ北斗の拳,49,-596,"2,278",91.3%,17,5,1/104
マイジャグラーV,1030,-596,"6,168",96.8%,22,10,1/193
ファンキージャグラー２ＫＴ,1161,-596,"1,074",81.5%,3,0,1/358
SアイムジャグラーＥＸ,1092,-597,"5,233",96.2%,19,9,1/187
Lパチスロからくりサーカス,100,-597,857,76.8%,-,-,-
ゴーゴージャグラー３,1053,-597,"4,500",95.6%,15,16,1/145
ファンキージャグラー２ＫＴ,1160,-598,"1,357",85.3%,3,2,1/271
L少女☆歌劇 レヴュースタァライト -The SLOT-,659,-598,"2,472",91.9%,-,-,-
スマスロモンキーターンV,708,-598,500,60.1%,-,-,-
スマスロモンキーターンV,727,-598,808,75.3%,-,-,-
スターハナハナ-30,1455,-599,"8,755",97.7%,-,-,-
マイジャグラーV,626,-599,"7,728",97.4%,21,36,1/136
ジャグラーガールズSS,1143,-690,"3,751",93.9%,-,-,-
ゴーゴージャグラー３,1103,-690,"1,136",79.8%,3,0,1/379
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,1337,-690,743,69%,-,-,-
SアイムジャグラーＥＸ,1072,-690,"2,925",92.1%,10,4,1/209
マイジャグラーV,1025,-692,"2,923",92.1%,9,4,1/225
ゴーゴージャグラー３,1102,-694,"5,911",96.1%,20,23,1/137
マイジャグラーV,1133,-694,"2,018",88.5%,6,3,1/224
Lパチスロからくりサーカス,96,-694,521,55.6%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,1359,-695,"2,329",90.1%,7,3,1/233
スロット ゾンビランドサガ,1405,-696,"4,550",94.9%,-,-,-
