機種,台番,差枚,G数,出率,BB,RB,合成
ファンキージャグラー２ＫＴ,2034,"1,512","5,155",109.8%,25,12,1/139
SアイムジャグラーＥＸ,2097,"1,509","6,989",107.2%,32,24,1/125
沖ドキ!ゴージャス 30Φ,2082,"1,508","3,277",115.3%,-,-,-
スマスロモンキーターンV,2242,"1,407","5,202",109%,-,-,-
SアイムジャグラーＥＸ,2098,"1,406","2,649",117.7%,16,6,1/120
A-SLOT+ ディスクアップ ULTRAREMIX,3007,"1,402","3,624",112.9%,15,9,1/151
ハッピージャグラーＶＩＩＩ,2004,"1,313","8,730",105%,39,22,1/143
Lパチスロからくりサーカス,2170,"1,311","3,101",114.1%,-,-,-
SアイムジャグラーＥＸ,2106,"1,210","6,272",106.4%,26,25,1/123
Lパチスロからくりサーカス,2175,"1,209","1,029",139.2%,-,-,-
沖ドキ！ＧＯＬＤ-30,2073,"1,209","1,479",127.2%,-,-,-
Lパチスロ ありふれた職業で世界最強,2266,"1,208","3,792",110.6%,-,-,-
マイジャグラーV,2029,"1,208","9,387",104.3%,32,41,1/129
バーサスリヴァイズ,3011,"1,207","3,175",112.7%,-,-,-
沖ドキ！ＧＯＬＤ-30,2074,"1,204","1,800",122.3%,-,-,-
Lパチスロからくりサーカス,2173,"1,204","3,400",111.8%,-,-,-
Lパチスロ ダンベル何キロ持てる？,2129,"1,204",497,180.8%,-,-,-
スマスロ モンスターハンターライズ,2192,"1,203","4,957",108.1%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,3062,"1,201","3,363",111.9%,-,-,-
SアイムジャグラーＥＸ,2010,"1,115","5,735",106.5%,25,19,1/130
マイジャグラーV,2146,"1,113","6,152",106%,26,20,1/134
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3043,"1,111","1,159",132%,-,-,-
Lスマスロ北斗の拳,2225,"1,109","1,367",127%,18,2,1/68
ゴーゴージャグラー３,2053,"1,107","5,356",106.9%,24,20,1/122
マイジャグラーV,2153,"1,103","9,256",104%,38,23,1/152
ゴーゴージャグラー３,2048,"1,010","5,950",105.7%,27,18,1/132
Lスマスロ北斗の拳,2228,"1,008","7,167",104.7%,67,17,1/85
マイジャグラーV,2019,"1,006","8,472",104%,33,32,1/130
新ハナビ,3073,"1,004","6,078",105.5%,-,-,-
Lスマスロ北斗の拳,2218,"1,001","3,829",108.7%,36,13,1/78
Lスマスロ　バイオハザード：ヴェンデッタ,3037,910,826,136.7%,-,-,-
Lスマスロ北斗の拳,2233,909,"7,142",104.2%,69,14,1/86
Lパチスロガールズ＆パンツァー 最終章,3040,810,584,146.2%,-,-,-
パチスロハイパーラッシュ,3069,810,"1,380",119.6%,-,-,-
新ハナビ,3072,808,"3,844",107%,-,-,-
沖ドキ！ＧＯＬＤ-30,2072,802,"5,804",104.6%,-,-,-
クランキークレスト,3018,802,"7,009",103.8%,-,-,-
スマスロモンキーターンV,2246,802,"4,804",105.6%,-,-,-
マイジャグラーV,2013,801,"7,334",103.6%,30,15,1/163
ファンキージャグラー２ＫＴ,2031,801,"4,193",106.4%,19,9,1/150
L東京喰種,2160,795,"5,515",104.8%,-,-,-
マイジャグラーV,2122,715,"5,619",104.2%,25,11,1/156
スマスロ バイオハザード5,2186,708,"2,714",108.7%,-,-,-
Sister Quest,2204,706,"1,478",115.9%,-,-,-
キングハナハナ-30,2076,705,"1,256",118.7%,-,-,-
マイジャグラーV,2117,704,"7,542",103.1%,28,27,1/137
SアイムジャグラーＥＸ,2111,703,"6,503",103.6%,22,26,1/135
ファンキージャグラー２ＫＴ,2032,702,"1,937",112.1%,10,5,1/129
ゴーゴージャグラー３,2049,610,"3,986",105.1%,17,14,1/129
スマスロ モンスターハンターライズ,2191,610,"2,453",108.3%,-,-,-
ゴーゴージャグラー３,2052,609,"6,650",103.1%,27,19,1/145
L 仮面ライダー電王,2065,609,"1,121",118.1%,-,-,-
Lパチスロ ダンベル何キロ持てる？,2130,606,645,131.3%,-,-,-
ウルトラミラクルジャグラー,2037,603,"3,875",105.2%,-,-,-
ハッピージャグラーＶＩＩＩ,2001,602,"3,189",106.3%,14,11,1/128
ファンキージャグラー２ＫＴ,2030,601,"5,969",103.4%,27,14,1/146
スマスロ バイオハザード5,2188,512,"3,275",105.2%,-,-,-
スマスロ モンスターハンターライズ,2137,510,"2,623",106.5%,-,-,-
ジャグラーガールズSS,2042,509,"6,757",102.5%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3099,509,"1,626",110.4%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3100,508,"1,638",110.3%,-,-,-
Lスマスロ北斗の拳,2210,504,584,128.8%,9,1,1/58
ゴーゴージャグラー３,2035,502,"7,238",102.3%,31,18,1/148
Lパチスロガールズ＆パンツァー 最終章,3039,501,"1,171",114.3%,-,-,-
ジャグラーガールズSS,2046,410,"2,073",106.6%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,3060,410,"3,211",104.3%,-,-,-
マイジャグラーV,2016,409,"6,860",102%,26,24,1/137
沖ドキ！ＧＯＬＤ-30,2089,409,"4,069",103.4%,-,-,-
ハッピージャグラーＶＩＩＩ,2002,406,"4,909",102.8%,20,12,1/153
バーサスリヴァイズ,3010,406,"4,496",103%,-,-,-
スマスロ シャーマンキング,2268,406,"2,146",106.3%,-,-,-
スマスロ モンスターハンターライズ,2190,406,441,130.7%,-,-,-
新ハナビ,3071,406,"4,470",103%,-,-,-
ミスタージャグラー,2039,404,"5,520",102.4%,-,-,-
ミスタージャグラー,2041,401,"3,785",103.5%,-,-,-
Lパチスロ炎炎ノ消防隊,3098,310,"2,255",104.6%,-,-,-
押忍！番長4,3093,309,"1,523",106.8%,-,-,-
SアイムジャグラーＥＸ,2114,308,"3,679",102.8%,15,12,1/136
スマスロ 七つの魔剣が支配する,2184,306,"2,901",103.5%,-,-,-
押忍！番長4,3091,302,265,138%,-,-,-
Lパチスロ ありふれた職業で世界最強,2267,209,"1,754",104%,-,-,-
パチスロ ガメラ2,3066,207,755,109.1%,-,-,-
今日から俺は!! パチスロ編,3031,207,"1,540",104.5%,-,-,-
沖ドキ！ＧＯＬＤ-30,2088,205,"2,738",102.5%,-,-,-
マイジャグラーV,2124,203,"2,848",102.4%,12,5,1/168
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,3067,203,882,107.7%,-,-,-
ゴーゴージャグラー３,2051,201,"7,684",100.9%,29,27,1/137
Lパチスロ かぐや様は告らせたい,2198,197,"5,834",101.1%,-,-,-
Lスマスロ北斗の拳,2212,113,"2,789",101.4%,25,8,1/85
スマスロ頭文字D 2nd,3109,108,989,103.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2157,107,16,-,-,-,-
マイジャグラーV,2014,105,"5,199",100.7%,20,16,1/144
SアイムジャグラーＥＸ,2102,104,"3,169",101.1%,14,6,1/158
Lラブ嬢3～Wご指名はいかがですか?～,3061,104,313,111.1%,-,-,-
Lスマスロ北斗の拳,2271,104,270,112.8%,2,1,1/90
Lパチスロ革命機ヴァルヴレイヴ,2177,102,901,103.8%,-,-,-
ウルトラミラクルジャグラー,2036,102,"5,524",100.6%,-,-,-
SアイムジャグラーＥＸ,2116,101,"1,976",101.7%,9,3,1/165
スマスロ バイオハザード5,2185,101,"1,836",101.8%,-,-,-
Lパチスロ シン・エヴァンゲリオン,3090,0,0,-,-,-,-
L犬夜叉2,3052,0,0,-,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3044,0,70,-,-,-,-
Lソードアート・オンライン,3050,0,257,100%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3111,0,0,-,-,-,-
スマスロ聖戦士ダンバイン,3058,0,0,-,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3112,0,0,-,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,3056,0,0,-,-,-,-
Lルパン三世 大航海者の秘宝,2060,0,37,-,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,3055,0,0,-,-,-,-
Lルパン三世 大航海者の秘宝,2062,0,0,-,-,-,-
パチスロ　甲鉄城のカバネリ,3106,0,0,-,-,-,-
Lパチスロ シン・エヴァンゲリオン,3088,0,0,-,-,-,-
Lパチスロ シン・エヴァンゲリオン,3089,0,0,-,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2176,0,0,-,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3113,0,0,-,-,-,-
Lスマスロ北斗の拳,2217,0,164,100%,2,1,1/55
L主役は銭形４,3032,0,0,-,-,-,-
ハッピージャグラーＶＩＩＩ,2007,0,"5,493",100%,19,17,1/153
チバリヨ2,2084,0,98,-,-,-,-
Lパチスロ ありふれた職業で世界最強,2180,0,"1,716",100%,-,-,-
Lパチスロ閃乱カグラ2 SHINOVI MASTER,3027,0,143,100%,-,-,-
L主役は銭形４,3034,0,0,-,-,-,-
パチスロ　甲鉄城のカバネリ,3103,0,0,-,-,-,-
Lバンドリ！,3035,0,0,-,-,-,-
Lパチスロ シン・エヴァンゲリオン,3087,0,707,100%,-,-,-
L 仮面ライダー電王,2063,-90,"1,626",98.2%,-,-,-
マイジャグラーV,2150,-91,"3,649",99.2%,14,7,1/174
Lスマスロ北斗の拳,2232,-92,"1,300",97.6%,9,3,1/108
Lパチスロ炎炎ノ消防隊,3097,-94,478,93.4%,-,-,-
Lスマスロ北斗の拳,2229,-95,927,96.6%,9,3,1/77
スマスロ聖戦士ダンバイン,3059,-97,527,93.9%,-,-,-
スマスロ頭文字D 2nd,3110,-97,119,72.8%,-,-,-
マイジャグラーV,2148,-97,"1,605",98%,6,3,1/178
マイジャグラーV,2119,-98,"6,688",99.5%,27,15,1/159
マイジャグラーV,2027,-98,"6,941",99.5%,26,17,1/161
ジャグラーガールズSS,2043,-99,"1,573",97.9%,-,-,-
沖ドキ！BLACK,2070,-104,"4,285",99.2%,-,-,-
パチスロ　甲鉄城のカバネリ,3105,-191,277,77%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,2059,-192,134,52.2%,-,-,-
スマスロ ゴッドイーター リザレクション,2252,-192,"4,143",98.5%,-,-,-
Lスマスロ北斗の拳,2214,-192,"1,932",96.7%,14,4,1/107
マイジャグラーV,2144,-192,"6,978",99.1%,21,24,1/155
キングハナハナ-30,2077,-192,"1,291",95%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,3006,-194,"3,040",97.9%,12,1,1/234
L戦国乙女４　戦乱に閃く炯眼の軍師,2057,-195,130,50%,-,-,-
Lスマスロ　バイオハザード：ヴェンデッタ,3038,-197,124,47%,-,-,-
マイジャグラーV,2021,-198,"5,024",98.7%,17,14,1/162
Lパチスロ革命機ヴァルヴレイヴ,2264,-198,436,84.9%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,2058,-198,234,71.8%,-,-,-
Lパチスロ かぐや様は告らせたい,2199,-198,"4,158",98.4%,-,-,-
マイジャグラーV,2152,-290,"3,958",97.6%,14,9,1/172
ウルトラミラクルジャグラー,2038,-291,"3,233",97%,-,-,-
ゴーゴージャグラー３,2054,-292,"7,103",98.6%,28,23,1/139
パチスロ　甲鉄城のカバネリ,3107,-292,557,82.5%,-,-,-
L犬夜叉2,3051,-292,439,77.8%,-,-,-
SアイムジャグラーＥＸ,2105,-292,"1,720",94.3%,6,2,1/215
スマスロモンキーターンV,2237,-293,704,86.1%,-,-,-
パチスロ戦国恋姫,3065,-294,"2,732",96.4%,-,-,-
スマスロ バイオハザード5,2187,-294,790,87.6%,-,-,-
パチスロ　ディスクアップ２,3022,-296,581,83%,1,0,1/581
SアイムジャグラーＥＸ,2101,-297,"1,858",94.7%,5,4,1/206
ゴーゴージャグラー３,2050,-297,"5,399",98.2%,19,17,1/150
Lスマスロ北斗の拳,2222,-298,"2,423",95.9%,16,4,1/121
パチスロ　ディスクアップ２,3023,-298,747,86.7%,2,1,1/249
Lパチスロ革命機ヴァルヴレイヴ,2179,-298,482,79.4%,-,-,-
マイジャグラーV,2018,-298,"2,978",96.7%,11,6,1/175
Lソードアート・オンライン,3048,-298,275,63.9%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2155,-299,787,87.3%,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3041,-300,"1,503",93.3%,-,-,-
パチスロ　甲鉄城のカバネリ,3102,-302,"1,578",93.6%,-,-,-
ハッピージャグラーＶＩＩＩ,2006,-390,"2,963",95.6%,8,11,1/156
ミスタージャグラー,2040,-390,"2,516",94.8%,-,-,-
Lスマスロ北斗の拳,2226,-390,"1,559",91.7%,10,5,1/104
チバリヨ2,2079,-395,364,63.8%,-,-,-
SアイムジャグラーＥＸ,2011,-395,"2,462",94.7%,8,6,1/176
マイジャグラーV,2142,-395,"9,558",98.6%,31,32,1/152
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3045,-396,437,69.8%,-,-,-
SアイムジャグラーＥＸ,2112,-397,"1,458",90.9%,4,4,1/182
スマスロ頭文字D 2nd,3108,-397,261,49.3%,-,-,-
スマスロモンキーターンV,2243,-398,"1,767",92.5%,-,-,-
SアイムジャグラーＥＸ,2099,-398,"6,023",97.8%,22,18,1/151
Lスマスロ北斗の拳,2223,-490,"3,416",95.2%,24,7,1/110
パチスロ　ディスクアップ２,3009,-491,828,80.2%,2,0,1/414
Lパチスロ かぐや様は告らせたい,2200,-491,"2,132",92.3%,-,-,-
スマスロ シャーマンキング,2206,-491,353,53.6%,-,-,-
バーサスリヴァイズ,3012,-491,"3,163",94.8%,-,-,-
Lスマスロ北斗の拳,2270,-495,"2,821",94.2%,21,6,1/104
スロット ゾンビランドサガ,3028,-495,"1,769",90.7%,-,-,-
マイジャグラーV,2121,-496,"3,154",94.8%,12,6,1/175
ジャグラーガールズSS,2045,-496,"1,570",89.5%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,3074,-496,"5,367",96.9%,17,12,1/185
今日から俺は!! パチスロ編,3030,-497,725,77.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2178,-498,"1,378",88%,-,-,-
回胴黙示録カイジ 狂宴,2066,-498,"3,414",95.1%,-,-,-
マイジャグラーV,2145,-499,"4,419",96.2%,14,12,1/170
パチスロハイパーラッシュ,3070,-499,"1,302",87.2%,-,-,-
Lスマスロ北斗の拳,2230,-590,"1,317",85.1%,6,3,1/146
SアイムジャグラーＥＸ,2104,-591,"2,499",92.1%,8,4,1/208
SアイムジャグラーＥＸ,2115,-591,"1,076",81.7%,3,1,1/269
キングハナハナ-30,2078,-592,882,77.6%,-,-,-
SアイムジャグラーＥＸ,2009,-594,"3,696",94.6%,10,13,1/161
Lパチスロからくりサーカス,2167,-594,"3,966",95%,-,-,-
スマスロモンキーターンV,2236,-595,960,79.3%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3114,-595,610,67.5%,-,-,-
マイジャグラーV,2015,-595,"2,012",90.1%,7,2,1/224
マイジャグラーV,2262,-595,"4,473",95.6%,14,13,1/166
ハッピージャグラーＶＩＩＩ,2003,-596,734,72.9%,1,0,1/734
スマスロ 七つの魔剣が支配する,2182,-596,486,59.1%,-,-,-
スマスロ スーパーブラックジャック,2256,-596,533,62.7%,-,-,-
マイジャグラーV,2023,-596,"7,358",97.3%,26,18,1/167
Lパチスロ ダンベル何キロ持てる？,2131,-596,"1,346",85.2%,-,-,-
