機種,台番,差枚,G数,出率,BB,RB,合成
マイジャグラーV,508,-270,"4,249",97.9%,15,12,1/157
ゴーゴージャグラー３,558,-290,"7,245",98.7%,27,24,1/142
ミスタージャグラー,581,-300,"1,621",93.8%,-,-,-
マイジャグラーV,541,-300,"4,145",97.6%,14,12,1/159
マイジャグラーV,528,-310,"2,653",96.1%,8,9,1/156
スマート沖スロ スターハナハナ,613,-310,"1,227",91.6%,-,-,-
Lスマスロ北斗の拳,736,-320,"2,502",95.7%,19,6,1/100
マイジャグラーV,506,-320,894,88.1%,3,2,1/179
スマスロ モンスターハンターライズ,739,-330,584,81.2%,-,-,-
ジャグラーガールズSS,592,-340,"1,324",91.4%,-,-,-
Lパチスロ かぐや様は告らせたい,688,-350,"2,235",94.8%,-,-,-
マイジャグラーV,510,-360,"1,588",92.4%,5,4,1/176
マイジャグラーV,538,-380,"1,154",89%,4,0,1/289
ウルトラミラクルジャグラー,572,-400,"5,143",97.4%,-,-,-
スマスロニューパルサーBT,618,-430,"5,803",97.5%,-,-,-
スマスロ モンスターハンターライズ,742,-440,650,77.4%,-,-,-
ウルトラミラクルジャグラー,568,-450,"5,521",97.3%,-,-,-
Lパチスロ かぐや様は告らせたい,686,-450,"3,734",96%,-,-,-
沖ドキ!ゴージャス 25Φ,597,-460,"4,714",96.7%,-,-,-
ゴーゴージャグラー３,552,-460,857,82.1%,2,3,1/171
Lスマスロ北斗の拳,811,-470,"2,824",94.5%,24,4,1/101
マイジャグラーV,530,-480,"1,213",86.8%,4,1,1/243
ファンキージャグラー２ＫＴ,574,-480,"3,418",95.3%,13,8,1/163
Lパチスロからくりサーカス,704,-490,"2,256",92.8%,-,-,-
ファンキージャグラー２ＫＴ,575,-490,"2,304",92.9%,8,3,1/209
スマスロ モンスターハンターライズ,753,-490,"1,619",89.9%,-,-,-
沖ドキ!ゴージャス 25Φ,600,-540,"2,607",93.1%,-,-,-
ウルトラミラクルジャグラー,570,-540,"2,629",93.2%,-,-,-
マイジャグラーV,516,-540,"1,654",89.1%,5,2,1/236
スマスロ モンスターハンターライズ,743,-560,"1,474",87.3%,-,-,-
スマスロモンキーターンV,650,-570,"1,331",85.7%,-,-,-
マイジャグラーV,518,-580,"5,045",96.2%,19,9,1/180
Lルパン三世 大航海者の秘宝,830,-590,"2,547",92.3%,-,-,-
マイジャグラーV,504,-610,"2,263",91%,7,4,1/206
ジャグラーガールズSS,596,-610,"4,077",95%,-,-,-
マイジャグラーV,540,-610,"2,316",91.2%,7,5,1/193
L東京喰種,630,-650,"4,263",94.9%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,839,-650,"2,987",92.7%,-,-,-
ゴーゴージャグラー３,556,-650,"1,184",81.7%,3,2,1/237
マイジャグラーV,535,-650,"3,812",94.3%,12,8,1/191
L絶対衝激～PLATONIC HEART～,845,-660,"5,324",95.9%,-,-,-
マイジャグラーV,514,-660,"4,342",94.9%,15,9,1/181
スマスロ モンスターハンターライズ,745,-670,"3,484",93.6%,-,-,-
スマスロモンキーターンV,642,-690,"5,545",95.9%,-,-,-
スマスロ バイオハザード5,766,-700,"6,505",96.4%,-,-,-
スマスロ ゴッドイーター リザレクション,713,-700,"4,674",95%,-,-,-
パチスロ　甲鉄城のカバネリ,605,-710,"1,833",87.1%,-,-,-
SアイムジャグラーＥＸ,588,-720,"1,560",84.6%,3,3,1/260
L東京喰種,629,-730,"7,186",96.6%,-,-,-
L絶対衝激～PLATONIC HEART～,846,-750,"4,701",94.7%,-,-,-
SアイムジャグラーＥＸ,586,-750,"1,578",84.2%,4,3,1/225
Lスマスロ北斗の拳,732,-760,"1,357",81.3%,6,2,1/170
ウルトラミラクルジャグラー,571,-770,"3,306",92.2%,-,-,-
スマスロモンキーターンV,658,-770,"2,799",90.8%,-,-,-
マイジャグラーV,545,-770,"2,217",88.4%,4,6,1/222
マイジャグラーV,539,-790,"3,328",92.1%,9,10,1/175
ゴーゴージャグラー３,551,-800,"5,260",94.9%,21,11,1/164
Lパチスロ かぐや様は告らせたい,673,-860,"2,181",86.9%,-,-,-
Lスマスロ北斗の拳,809,-860,"6,754",95.8%,52,16,1/99
スマスロモンキーターンV,648,-860,"8,796",96.7%,-,-,-
ウルトラミラクルジャグラー,567,-870,"8,389",96.5%,-,-,-
スマスロモンキーターンV,664,-870,"4,430",93.5%,-,-,-
Lパチスロ かぐや様は告らせたい,672,-880,"3,257",91%,-,-,-
